PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, MIN1, DIST_FEET, DIST_MILES, DIST_MILES_OFF, DIST_MILES_DEF, AVG_SPEED, AVG_SPEED_DEF
201985, AJ Price, 1610612739, CLE, 26, 11, 15, 12.44, 12.44, 4690.0, 0.89, 0.5, 0.39, 4.29, 3.98
201166, Aaron Brooks, 1610612741, CHI, 82, 50, 32, 22.98, 22.98, 8351.73, 1.58, 0.87, 0.71, 4.15, 3.81
203932, Aaron Gordon, 1610612753, ORL, 47, 14, 33, 16.96, 16.96, 6634.0, 1.26, 0.67, 0.58, 4.46, 4.02
203940, Adreian Payne, 1610612750, MIN, 32, 7, 25, 23.11, 23.11, 8528.5, 1.62, 0.87, 0.75, 4.2, 3.89
201143, Al Horford, 1610612737, ATL, 76, 56, 20, 30.5, 30.5, 10721.09, 2.03, 1.06, 0.97, 4.01, 3.74
2744, Al Jefferson, 1610612766, CHA, 65, 25, 40, 30.64, 30.64, 10203.98, 1.93, 1.04, 0.9, 3.79, 3.63
202329, Al-Farouq Aminu, 1610612742, DAL, 74, 45, 29, 18.46, 18.46, 7403.04, 1.4, 0.74, 0.66, 4.56, 4.22
101187, Alan Anderson, 1610612751, BKN, 74, 35, 39, 23.57, 23.57, 8518.36, 1.61, 0.83, 0.79, 4.11, 3.97
202692, Alec Burks, 1610612762, UTA, 27, 9, 18, 33.3, 33.3, 12400.85, 2.35, 1.27, 1.07, 4.24, 3.97
203945, Alex Kirk, 1610612739, CLE, 5, 2, 3, 2.8, 2.8, 991.2, 0.19, 0.1, 0.09, 3.86, 4.3
203458, Alex Len, 1610612756, PHX, 69, 35, 34, 22.0, 22.0, 7943.38, 1.5, 0.79, 0.71, 4.11, 3.78
203144, Alexey Shved, 1610612752, NYK, 42, 10, 32, 18.27, 18.27, 6784.26, 1.28, 0.69, 0.59, 4.22, 3.94
201582, Alexis Ajinca, 1610612740, NOP, 68, 41, 27, 14.07, 14.07, 4914.66, 0.93, 0.51, 0.42, 3.97, 3.71
203459, Allen Crabbe, 1610612757, POR, 51, 36, 15, 13.39, 13.39, 5149.37, 0.98, 0.53, 0.44, 4.37, 4.04
202087, Alonzo Gee, 1610612757, POR, 54, 21, 33, 12.25, 12.25, 4753.61, 0.9, 0.45, 0.45, 4.42, 4.22
2405, Amar'e Stoudemire, 1610612742, DAL, 58, 19, 39, 21.32, 21.32, 7293.41, 1.38, 0.74, 0.64, 3.9, 3.74
101161, Amir Johnson, 1610612761, TOR, 75, 44, 31, 26.38, 26.38, 9478.01, 1.8, 0.94, 0.86, 4.08, 3.98
2760, Anderson Varejao, 1610612739, CLE, 26, 16, 10, 24.45, 24.45, 9462.12, 1.79, 0.94, 0.85, 4.41, 4.21
203958, Andre Dawkins, 1610612748, MIA, 4, 2, 2, 5.42, 5.42, 1948.75, 0.37, 0.21, 0.16, 4.15, 3.5
203083, Andre Drummond, 1610612765, DET, 82, 32, 50, 30.51, 30.51, 10846.17, 2.05, 1.06, 1.0, 4.05, 3.96
2738, Andre Iguodala, 1610612744, GSW, 77, 64, 13, 26.86, 26.86, 9994.17, 1.89, 0.98, 0.91, 4.17, 3.78
1889, Andre Miller, 1610612758, SAC, 81, 44, 37, 15.47, 15.47, 5387.01, 1.02, 0.57, 0.45, 3.96, 3.6
203460, Andre Roberson, 1610612760, OKC, 67, 41, 26, 19.2, 19.2, 7840.45, 1.48, 0.76, 0.72, 4.66, 4.43
200745, Andrea Bargnani, 1610612752, NYK, 29, 5, 24, 27.08, 27.08, 9335.34, 1.77, 0.98, 0.79, 3.92, 3.73
1905, Andrei Kirilenko, 1610612751, BKN, 7, 3, 4, 5.2, 5.2, 2079.86, 0.39, 0.22, 0.18, 4.58, 4.03
101106, Andrew Bogut, 1610612744, GSW, 67, 58, 9, 23.62, 23.62, 7836.21, 1.48, 0.76, 0.73, 3.71, 3.32
203094, Andrew Nicholson, 1610612753, ORL, 40, 14, 26, 12.3, 12.3, 4461.83, 0.85, 0.45, 0.39, 4.13, 3.75
203952, Andrew Wiggins, 1610612750, MIN, 81, 16, 65, 36.26, 36.26, 13169.25, 2.49, 1.32, 1.17, 4.13, 3.89
203461, Anthony Bennett, 1610612750, MIN, 56, 12, 44, 15.8, 15.8, 5841.05, 1.11, 0.6, 0.5, 4.21, 3.88
203076, Anthony Davis, 1610612740, NOP, 68, 39, 29, 36.1, 36.1, 12405.19, 2.35, 1.26, 1.09, 3.91, 3.67
201627, Anthony Morrow, 1610612760, OKC, 74, 42, 32, 24.4, 24.4, 8792.31, 1.67, 0.87, 0.79, 4.11, 3.86
201229, Anthony Tolliver, 1610612765, DET, 76, 36, 40, 18.85, 18.85, 7174.8, 1.36, 0.74, 0.62, 4.33, 3.92
203462, Archie Goodwin, 1610612756, PHX, 41, 16, 25, 13.04, 13.04, 5083.78, 0.96, 0.51, 0.45, 4.45, 4.22
202620, Arinze Onuaku, 1610612750, MIN, 6, 0, 6, 11.38, 11.38, 3789.33, 0.72, 0.36, 0.36, 3.79, 3.64
203382, Aron Baynes, 1610612759, SAS, 70, 49, 21, 16.03, 16.03, 5906.49, 1.12, 0.6, 0.52, 4.2, 3.92
201167, Arron Afflalo, 1610612757, POR, 78, 35, 43, 32.07, 32.07, 11730.97, 2.22, 1.18, 1.04, 4.17, 3.83
201948, Austin Daye, 1610612737, ATL, 34, 17, 17, 10.12, 10.12, 3766.18, 0.71, 0.38, 0.33, 4.24, 3.95
203085, Austin Rivers, 1610612746, LAC, 76, 46, 30, 20.57, 20.57, 7861.84, 1.49, 0.8, 0.69, 4.35, 4.07
202340, Avery Bradley, 1610612738, BOS, 77, 37, 40, 31.53, 31.53, 11965.73, 2.27, 1.15, 1.12, 4.33, 4.12
2732, Ben Gordon, 1610612753, ORL, 56, 17, 39, 14.11, 14.11, 5116.41, 0.97, 0.52, 0.45, 4.13, 3.78
203463, Ben McLemore, 1610612758, SAC, 82, 29, 53, 32.56, 32.56, 12914.67, 2.45, 1.28, 1.16, 4.51, 4.27
