PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, DRIVES, DRIVE_FGM, DRIVE_FGA, DRIVE_FG_PCT, DRIVE_FTM, DRIVE_FTA, DRIVE_FT_PCT, DRIVE_PTS, DRIVE_PTS_PCT, DRIVE_PASSES, DRIVE_PASSES_PCT, DRIVE_AST, DRIVE_AST_PCT, DRIVE_TOV, DRIVE_TOV_PCT, DRIVE_PF_PCT
203932, Aaron Gordon, 1610612753, ORL, 73, 35, 38, 33.8, 6.2, 1.2, 2.7, 0.43, 0.8, 1.1, 0.7, 3.2, 0.524, 2.1, 0.345, 0.6, 0.1, 0.6, 0.097, 0.086
1628988, Aaron Holiday, 1610612754, IND, 47, 30, 17, 12.3, 3.3, 0.6, 1.3, 0.426, 0.2, 0.2, 0.9, 1.3, 0.404, 1.7, 0.5, 0.4, 0.135, 0.1, 0.038, 0.032
1627846, Abdel Nader, 1610612760, OKC, 58, 36, 22, 11.5, 2.1, 0.6, 1.2, 0.485, 0.2, 0.2, 0.692, 1.3, 0.621, 0.7, 0.315, 0.2, 0.081, 0.2, 0.073, 0.04
201143, Al Horford, 1610612738, BOS, 66, 40, 26, 29.1, 1.6, 0.4, 0.8, 0.56, 0.2, 0.3, 0.882, 1.1, 0.667, 0.6, 0.37, 0.2, 0.12, 0.1, 0.083, 0.065
202329, Al-Farouq Aminu, 1610612757, POR, 77, 49, 28, 28.5, 2.7, 0.7, 1.4, 0.472, 0.4, 0.5, 0.857, 1.8, 0.655, 0.7, 0.248, 0.3, 0.121, 0.2, 0.087, 0.083
1626210, Alan Williams, 1610612751, BKN, 4, 0, 4, 5.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
202692, Alec Burks, 1610612758, SAC, 64, 19, 45, 21.5, 5.2, 1.0, 2.5, 0.396, 0.7, 0.8, 0.86, 2.8, 0.53, 1.8, 0.344, 0.4, 0.084, 0.4, 0.078, 0.075
203518, Alex Abrines, 1610612760, OKC, 31, 21, 10, 19.0, 1.2, 0.2, 0.5, 0.357, 0.1, 0.1, 1.0, 0.5, 0.389, 0.5, 0.417, 0.1, 0.111, 0.1, 0.111, 0.056
1627936, Alex Caruso, 1610612747, LAL, 20, 5, 15, 17.7, 3.1, 0.5, 1.4, 0.321, 1.1, 1.2, 0.917, 2.0, 0.645, 0.9, 0.274, 0.4, 0.129, 0.2, 0.065, 0.177
203458, Alex Len, 1610612737, ATL, 74, 28, 46, 19.7, 0.4, 0.1, 0.3, 0.579, 0.1, 0.1, 1.0, 0.4, 0.839, 0.1, 0.161, 0.0, 0.0, 0.1, 0.161, 0.065
1627816, Alex Poythress, 1610612737, ATL, 21, 7, 14, 14.5, 0.8, 0.2, 0.4, 0.444, 0.0, 0.1, 0.5, 0.4, 0.563, 0.2, 0.25, 0.0, 0.0, 0.0, 0.063, 0.063
1628035, Alfonzo McKinnie, 1610612744, GSW, 66, 49, 17, 13.8, 0.4, 0.1, 0.3, 0.316, 0.0, 0.0, 0.0, 0.2, 0.448, 0.1, 0.241, 0.0, 0.069, 0.0, 0.069, 0.034
1628993, Alize Johnson, 1610612754, IND, 12, 8, 4, 3.0, 0.3, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
203459, Allen Crabbe, 1610612751, BKN, 43, 19, 24, 26.4, 2.1, 0.3, 1.0, 0.293, 0.1, 0.2, 0.75, 0.7, 0.33, 0.8, 0.385, 0.1, 0.066, 0.3, 0.121, 0.044
1629019, Allonzo Trier, 1610612752, NYK, 63, 13, 50, 22.8, 7.0, 1.3, 2.8, 0.469, 1.2, 1.6, 0.74, 3.9, 0.554, 2.4, 0.344, 0.6, 0.082, 0.8, 0.114, 0.112
1628518, Amile Jefferson, 1610612753, ORL, 10, 7, 3, 3.9, 0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
101161, Amir Johnson, 1610612755, PHI, 49, 31, 18, 9.9, 0.5, 0.2, 0.2, 0.8, 0.0, 0.0, 1.0, 0.4, 0.783, 0.1, 0.304, 0.0, 0.0, 0.1, 0.174, 0.043
203083, Andre Drummond, 1610612765, DET, 75, 38, 37, 33.5, 1.2, 0.3, 0.7, 0.455, 0.2, 0.3, 0.68, 0.9, 0.764, 0.1, 0.124, 0.0, 0.011, 0.1, 0.112, 0.135
2738, Andre Iguodala, 1610612744, GSW, 66, 47, 19, 23.1, 1.0, 0.2, 0.3, 0.455, 0.2, 0.3, 0.526, 0.5, 0.47, 0.4, 0.424, 0.1, 0.136, 0.1, 0.076, 0.136
201281, Andre Ingram, 1610612747, LAL, 4, 1, 3, 3.7, 0.3, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
101106, Andrew Bogut, 1610612744, GSW, 7, 6, 1, 12.4, 0.3, 0.3, 0.3, 1.0, 0.0, 0.0, 0.0, 0.6, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1626150, Andrew Harrison, 1610612740, NOP, 17, 6, 11, 10.9, 4.1, 0.5, 0.9, 0.5, 0.6, 0.7, 0.917, 1.7, 0.414, 2.5, 0.614, 0.6, 0.143, 0.2, 0.057, 0.086
203952, Andrew Wiggins, 1610612750, MIN, 68, 29, 39, 34.8, 8.0, 1.7, 4.2, 0.403, 1.2, 1.8, 0.681, 4.6, 0.571, 2.4, 0.302, 0.6, 0.079, 0.5, 0.066, 0.103
1629014, Anfernee Simons, 1610612757, POR, 17, 15, 2, 4.8, 1.1, 0.4, 0.7, 0.5, 0.1, 0.4, 0.167, 0.8, 0.722, 0.1, 0.056, 0.1, 0.056, 0.1, 0.111, 0.167
1629116, Angel Delgado, 1610612746, LAC, 2, 0, 2, 7.4, 0.5, 0.5, 0.5, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1627790, Ante Zizic, 1610612739, CLE, 55, 13, 42, 18.1, 0.3, 0.1, 0.2, 0.583, 0.0, 0.0, 0.0, 0.3, 0.778, 0.1, 0.222, 0.0, 0.056, 0.0, 0.111, 0.0
203076, Anthony Davis, 1610612740, NOP, 56, 25, 31, 33.0, 3.8, 1.2, 2.4, 0.485, 0.7, 0.9, 0.712, 3.1, 0.822, 0.8, 0.196, 0.3, 0.079, 0.1, 0.037, 0.117
201229, Anthony Tolliver, 1610612750, MIN, 60, 25, 35, 16.2, 0.6, 0.1, 0.2, 0.429, 0.2, 0.3, 0.778, 0.4, 0.684, 0.2, 0.316, 0.0, 0.053, 0.1, 0.105, 0.211
1628469, Antonio Blakeney, 1610612741, CHI, 56, 14, 42, 14.5, 4.8, 1.3, 2.9, 0.466, 0.5, 0.8, 0.636, 3.2, 0.656, 1.3, 0.278, 0.2, 0.033, 0.2, 0.044, 0.07
203382, Aron Baynes, 1610612738, BOS, 49, 31, 18, 15.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
203085, Austin Rivers, 1610612745, HOU, 72, 42, 30, 26.8, 5.6, 1.3, 2.7, 0.477, 0.4, 0.8, 0.544, 3.0, 0.545, 2.0, 0.363, 0.5, 0.087, 0.3, 0.045, 0.067
202340, Avery Bradley, 1610612763, MEM, 63, 31, 32, 30.2, 3.3, 0.5, 1.3, 0.357, 0.2, 0.2, 0.8, 1.2, 0.348, 1.5, 0.462, 0.5, 0.162, 0.2, 0.067, 0.033
1629168, BJ Johnson, 1610612758, SAC, 6, 2, 4, 7.2, 0.3, 0.3, 0.3, 1.0, 0.0, 0.0, 0.0, 0.7, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1628389, Bam Adebayo, 1610612748, MIA, 78, 38, 40, 23.2, 0.8, 0.1, 0.4, 0.357, 0.2, 0.3, 0.783, 0.5, 0.603, 0.2, 0.286, 0.0, 0.016, 0.1, 0.063, 0.175
203463, Ben McLemore, 1610612758, SAC, 19, 7, 12, 8.3, 0.3, 0.1, 0.2, 0.333, 0.0, 0.0, 0.0, 0.1, 0.333, 0.2, 0.5, 0.1, 0.167, 0.0, 0.0, 0.0
1627732, Ben Simmons, 1610612755, PHI, 76, 49, 27, 34.4, 9.7, 2.1, 4.0, 0.521, 1.0, 1.6, 0.607, 5.2, 0.537, 4.1, 0.424, 0.9, 0.098, 0.5, 0.05, 0.085
1628656, Billy Garrett, 1610612752, NYK, 1, 0, 1, 11.5, 3.0, 1.0, 2.0, 0.5, 0.0, 0.0, 0.0, 2.0, 0.667, 1.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0
202687, Bismack Biyombo, 1610612766, CHA, 49, 21, 28, 14.1, 0.1, 0.0, 0.0, 1.0, 0.1, 0.1, 0.75, 0.1, 1.667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.667
201933, Blake Griffin, 1610612765, DET, 72, 38, 34, 35.2, 8.2, 2.2, 3.8, 0.57, 1.8, 2.3, 0.79, 6.3, 0.777, 2.2, 0.264, 0.5, 0.061, 0.6, 0.078, 0.141
1626246, Boban Marjanovic, 1610612755, PHI, 54, 29, 25, 11.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1626171, Bobby Portis, 1610612764, WAS, 45, 14, 31, 25.6, 2.4, 0.6, 1.5, 0.373, 0.3, 0.3, 0.857, 1.4, 0.569, 0.6, 0.239, 0.1, 0.028, 0.1, 0.055, 0.064
203992, Bogdan Bogdanovic, 1610612758, SAC, 66, 31, 35, 27.9, 8.0, 1.6, 3.7, 0.438, 0.5, 0.6, 0.85, 3.8, 0.469, 3.2, 0.399, 1.1, 0.132, 0.7, 0.083, 0.034
202711, Bojan Bogdanovic, 1610612754, IND, 79, 47, 32, 31.9, 6.8, 1.9, 3.6, 0.519, 1.2, 1.5, 0.821, 5.1, 0.749, 1.8, 0.268, 0.4, 0.061, 0.5, 0.071, 0.104
1629045, Bonzie Colson, 1610612749, MIL, 6, 5, 1, 8.2, 0.5, 0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.3, 0.667, 0.3, 0.667, 0.0, 0.0, 0.0, 0.0, 0.0
202954, Brad Wanamaker, 1610612738, BOS, 33, 25, 8, 8.8, 1.5, 0.2, 0.6, 0.286, 0.2, 0.2, 1.0, 0.5, 0.36, 0.7, 0.46, 0.2, 0.12, 0.0, 0.0, 0.06
203078, Bradley Beal, 1610612764, WAS, 77, 31, 46, 37.4, 12.8, 3.1, 5.6, 0.561, 1.5, 1.9, 0.815, 8.0, 0.625, 4.8, 0.38, 1.1, 0.085, 0.8, 0.066, 0.073
1629164, Brandon Goodwin, 1610612743, DEN, 16, 10, 6, 3.6, 1.3, 0.1, 0.8, 0.167, 0.4, 0.5, 0.75, 0.6, 0.5, 0.2, 0.15, 0.0, 0.0, 0.1, 0.05, 0.2
1627742, Brandon Ingram, 1610612747, LAL, 52, 25, 27, 33.9, 10.1, 2.6, 5.4, 0.477, 1.4, 2.1, 0.67, 6.7, 0.659, 2.6, 0.253, 0.7, 0.065, 0.8, 0.078, 0.103
202688, Brandon Knight, 1610612739, CLE, 35, 17, 18, 17.7, 4.1, 0.6, 1.9, 0.309, 0.4, 0.5, 0.833, 1.7, 0.403, 1.7, 0.403, 0.4, 0.104, 0.3, 0.063, 0.056
1629102, Brandon Sampson, 1610612741, CHI, 11, 3, 8, 13.0, 2.1, 0.6, 1.1, 0.583, 0.3, 0.4, 0.75, 1.5, 0.739, 0.4, 0.174, 0.1, 0.043, 0.5, 0.217, 0.087
201572, Brook Lopez, 1610612749, MIL, 78, 58, 20, 28.7, 2.1, 0.7, 1.2, 0.617, 0.4, 0.5, 0.854, 2.0, 0.933, 0.4, 0.182, 0.1, 0.061, 0.2, 0.091, 0.121
1628971, Bruce Brown, 1610612765, DET, 70, 33, 37, 19.5, 2.9, 0.5, 1.4, 0.384, 0.2, 0.3, 0.696, 1.4, 0.461, 1.1, 0.379, 0.2, 0.078, 0.2, 0.083, 0.053
203998, Bruno Caboclo, 1610612763, MEM, 29, 12, 17, 22.6, 2.3, 0.4, 0.9, 0.5, 0.3, 0.4, 0.909, 1.2, 0.537, 1.0, 0.418, 0.0, 0.015, 0.2, 0.09, 0.075
1627854, Bryn Forbes, 1610612759, SAS, 78, 44, 34, 28.0, 3.9, 1.0, 2.1, 0.461, 0.3, 0.3, 0.875, 2.3, 0.586, 1.3, 0.331, 0.3, 0.089, 0.3, 0.07, 0.036
1627741, Buddy Hield, 1610612758, SAC, 78, 38, 40, 32.2, 4.6, 1.0, 2.4, 0.424, 0.4, 0.5, 0.919, 2.6, 0.554, 1.6, 0.338, 0.3, 0.066, 0.2, 0.053, 0.05
203710, C.J. Williams, 1610612750, MIN, 13, 4, 9, 7.0, 1.2, 0.2, 0.5, 0.429, 0.0, 0.0, 0.0, 0.5, 0.4, 0.4, 0.333, 0.2, 0.133, 0.2, 0.133, 0.0
203468, CJ McCollum, 1610612757, POR, 68, 41, 27, 34.1, 9.4, 2.6, 5.4, 0.489, 0.9, 1.1, 0.853, 6.3, 0.673, 2.9, 0.303, 0.6, 0.061, 0.4, 0.042, 0.056
101139, CJ Miles, 1610612763, MEM, 53, 33, 20, 16.2, 1.6, 0.3, 0.9, 0.327, 0.2, 0.3, 0.813, 0.9, 0.571, 0.4, 0.238, 0.1, 0.083, 0.1, 0.083, 0.095
1628403, Caleb Swanigan, 1610612758, SAC, 19, 10, 9, 7.9, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1626166, Cameron Payne, 1610612739, CLE, 40, 7, 33, 17.8, 4.9, 1.3, 2.3, 0.556, 0.4, 0.5, 0.737, 2.9, 0.6, 1.9, 0.379, 0.6, 0.123, 0.4, 0.082, 0.046
