PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, MIN1, DIST_FEET, DIST_MILES, DIST_MILES_OFF, DIST_MILES_DEF, AVG_SPEED, AVG_SPEED_DEF
203932, Aaron Gordon, 1610612753, ORL, 73, 35, 38, 33.78, 33.78, 13504.29, 2.56, 1.44, 1.12, 4.28, 3.79
1628988, Aaron Holiday, 1610612754, IND, 47, 30, 17, 12.27, 12.27, 5092.32, 0.96, 0.5, 0.46, 4.36, 4.15
1627846, Abdel Nader, 1610612760, OKC, 58, 36, 22, 11.49, 11.49, 4861.55, 0.92, 0.47, 0.45, 4.48, 4.27
201143, Al Horford, 1610612738, BOS, 66, 40, 26, 29.09, 29.09, 10815.67, 2.05, 1.09, 0.96, 3.98, 3.64
202329, Al-Farouq Aminu, 1610612757, POR, 77, 49, 28, 28.52, 28.52, 11402.91, 2.16, 1.19, 0.97, 4.25, 3.93
1626210, Alan Williams, 1610612751, BKN, 4, 0, 4, 5.47, 5.47, 2179.5, 0.41, 0.21, 0.2, 4.34, 3.69
202692, Alec Burks, 1610612758, SAC, 64, 19, 45, 21.48, 21.48, 8500.19, 1.61, 0.87, 0.74, 4.22, 4.05
203518, Alex Abrines, 1610612760, OKC, 31, 21, 10, 18.98, 18.98, 7906.84, 1.5, 0.78, 0.72, 4.38, 4.04
1627936, Alex Caruso, 1610612747, LAL, 20, 5, 15, 17.72, 17.72, 6850.5, 1.3, 0.68, 0.62, 4.26, 3.95
203458, Alex Len, 1610612737, ATL, 74, 28, 46, 19.69, 19.69, 7869.19, 1.49, 0.8, 0.69, 4.24, 3.88
1627816, Alex Poythress, 1610612737, ATL, 21, 7, 14, 14.52, 14.52, 6206.95, 1.18, 0.63, 0.55, 4.51, 4.05
1628035, Alfonzo McKinnie, 1610612744, GSW, 66, 49, 17, 13.8, 13.8, 6080.62, 1.15, 0.61, 0.54, 4.69, 4.28
1628993, Alize Johnson, 1610612754, IND, 12, 8, 4, 2.97, 2.97, 1272.0, 0.24, 0.12, 0.12, 4.35, 4.27
203459, Allen Crabbe, 1610612751, BKN, 43, 19, 24, 26.35, 26.35, 10575.95, 2.0, 1.1, 0.9, 4.24, 3.88
1629019, Allonzo Trier, 1610612752, NYK, 63, 13, 50, 22.78, 22.78, 9013.24, 1.71, 0.95, 0.76, 4.17, 3.82
1628518, Amile Jefferson, 1610612753, ORL, 10, 7, 3, 3.88, 3.88, 1655.6, 0.31, 0.17, 0.15, 4.4, 4.34
101161, Amir Johnson, 1610612755, PHI, 49, 31, 18, 9.93, 9.93, 3891.82, 0.74, 0.39, 0.35, 4.17, 3.89
203083, Andre Drummond, 1610612765, DET, 75, 38, 37, 33.49, 33.49, 12306.51, 2.33, 1.23, 1.1, 3.94, 3.89
2738, Andre Iguodala, 1610612744, GSW, 66, 47, 19, 23.12, 23.12, 8957.11, 1.7, 0.88, 0.82, 4.1, 3.77
201281, Andre Ingram, 1610612747, LAL, 4, 1, 3, 3.66, 3.66, 1442.75, 0.27, 0.15, 0.13, 4.14, 3.59
101106, Andrew Bogut, 1610612744, GSW, 7, 6, 1, 12.37, 12.37, 4506.86, 0.85, 0.45, 0.4, 3.95, 3.53
1626150, Andrew Harrison, 1610612740, NOP, 17, 6, 11, 10.93, 10.93, 4165.88, 0.79, 0.43, 0.36, 4.03, 3.8
203952, Andrew Wiggins, 1610612750, MIN, 68, 29, 39, 34.83, 34.83, 13285.04, 2.52, 1.34, 1.17, 4.04, 3.79
1629014, Anfernee Simons, 1610612757, POR, 17, 15, 2, 4.84, 4.84, 2060.0, 0.39, 0.22, 0.17, 4.44, 4.14
1629116, Angel Delgado, 1610612746, LAC, 2, 0, 2, 7.38, 7.38, 2960.0, 0.56, 0.27, 0.29, 4.13, 4.13
1627790, Ante Zizic, 1610612739, CLE, 55, 13, 42, 18.11, 18.11, 6814.96, 1.29, 0.68, 0.61, 4.01, 3.94
203076, Anthony Davis, 1610612740, NOP, 56, 25, 31, 33.03, 33.03, 12060.32, 2.28, 1.19, 1.09, 3.9, 3.57
201229, Anthony Tolliver, 1610612750, MIN, 60, 25, 35, 16.23, 16.23, 6662.9, 1.26, 0.71, 0.55, 4.32, 3.83
1628469, Antonio Blakeney, 1610612741, CHI, 56, 14, 42, 14.55, 14.55, 5913.96, 1.12, 0.59, 0.53, 4.33, 4.05
203382, Aron Baynes, 1610612738, BOS, 49, 31, 18, 15.92, 15.92, 5985.35, 1.13, 0.58, 0.55, 4.01, 3.85
203085, Austin Rivers, 1610612745, HOU, 72, 42, 30, 26.79, 26.79, 10213.0, 1.93, 1.01, 0.93, 4.06, 3.88
202340, Avery Bradley, 1610612763, MEM, 63, 31, 32, 30.25, 30.25, 12312.37, 2.33, 1.2, 1.13, 4.32, 4.23
1629168, BJ Johnson, 1610612758, SAC, 6, 2, 4, 7.22, 7.22, 2963.67, 0.56, 0.31, 0.25, 4.36, 3.84
1628389, Bam Adebayo, 1610612748, MIA, 78, 38, 40, 23.19, 23.19, 9017.58, 1.71, 0.91, 0.79, 4.11, 3.88
203463, Ben McLemore, 1610612758, SAC, 19, 7, 12, 8.3, 8.3, 3751.05, 0.71, 0.37, 0.34, 4.74, 4.48
